Fan,Refrigerator,AirConditioner,Television,Monitor,MotorPump,Temperature,Humidity,MonthlyHours,TariffRate,ElectricityBill,Predicted_ElectricityBill
7,23,3,17,7,0,13.62,64.11,664,9.1,6042.4,35841900.0
16,23,1,21,1,0,13.61,64.77,597,8.4,5014.8,35841900.0
9,22,0,7,1,0,13.63,63.97,239,8.1,1935.9,13728014.0
12,23,0,7,12,0,13.61,64.44,603,9.3,5607.9,35841900.0
11,22,0,12,1,0,13.6,65.64,581,8.2,4764.2,35414700.0
9,20,1,18,1,0,13.5,66.44,528,7.6,4012.8,29621134.0
19,23,1,13,1,0,13.51,66.88,616,9.2,5667.2,35841900.0
17,22,2,7,1,0,13.52,66.68,534,7.7,4111.8,30371002.0
14,22,2,12,1,0,13.56,66.31,407,8.7,3540.9,26247444.0
15,23,2,5,12,0,13.52,66.68,469,8.5,3986.5,29637108.0
5,22,3,17,1,0,13.48,67.31,398,9.1,3621.8,27013612.0
6,22,0,4,1,0,13.43,68.21,187,8.9,1664.3,12224102.0
18,22,3,5,1,0,13.42,68.25,405,7.4,2997.0,22179126.0
6,18,0,17,1,0,13.44,67.21,344,7.8,2683.2,19733560.0
20,23,3,5,1,0,13.49,66.24,648,8.2,5313.6,35841900.0
10,19,0,17,7,0,13.46,67.48,413,7.4,3056.2,22718728.0
14,22,1,22,1,0,13.41,67.61,469,8.3,3892.7,28596224.0
18,23,1,5,1,0,13.3,69.05,487,7.9,3847.3,28328626.0
7,17,0,17,1,0,13.26,69.22,350,9.3,3255.0,24320172.0
7,23,3,16,1,0,13.19,70.3,524,9.1,4768.4,35528404.0
14,22,2,20,12,0,13.11,71.6,574,8.9,5108.6,35841900.0
20,22,0,19,12,0,12.86,72.7,529,7.9,4179.1,30987396.0
23,23,0,11,1,0,12.87,71.4,509,8.4,4275.6,31537968.0
10,18,3,8,1,0,12.87,71.3,406,8.7,3532.2,26338288.0
14,23,0,8,1,0,12.81,71.2,387,9.2,3560.4,26450840.0
17,22,2,3,1,0,12.81,71.1,392,8.3,3253.6,24089354.0
17,23,2,9,1,0,12.81,71.7,494,8.7,4297.8,31750748.0
9,22,0,21,1,0,12.8,71.7,426,9.2,3919.2,29029542.0
20,22,3,19,1,0,12.85,70.7,538,8.1,4357.8,32067620.0
5,23,2,5,1,0,12.76,71.9,355,9.2,3266.0,24489126.0
11,23,2,11,1,0,12.48,75.9,496,9.1,4513.6,33574930.0
6,22,1,15,1,0,12.38,76.8,489,8.7,4254.3,31452386.0
14,22,1,7,1,0,12.24,78.9,471,9.3,4380.3,32719196.0
5,18,0,9,1,0,12.09,79.9,247,8.9,2198.3,16065070.0
21,23,1,4,1,0,11.94,81.0,400,9.3,3720.0,27628848.0
20,23,0,16,1,0,11.83,81.6,527,7.4,3899.8,28693868.0
21,23,1,19,1,0,11.87,81.0,489,8.1,3960.9,29052404.0
21,22,0,22,1,0,11.84,81.2,513,9.1,4668.3,34910664.0
9,20,0,17,1,0,11.87,80.9,561,8.9,4992.9,35841900.0
17,23,1,4,1,0,11.95,79.8,453,7.6,3442.8,25359714.0
19,23,1,12,1,0,11.98,80.0,529,8.5,4496.5,33266474.0
12,22,1,8,1,0,11.96,80.4,323,8.9,2874.7,21596958.0
20,23,3,19,1,0,12.01,80.6,613,9.2,5639.6,35841900.0
13,22,1,13,1,0,11.95,81.1,604,8.2,4952.8,35841900.0
5,23,3,10,1,0,11.89,81.7,572,8.4,4804.8,35578932.0
9,22,1,6,1,0,11.72,82.9,393,8.5,3340.5,24712514.0
20,22,2,17,1,0,11.69,83.9,725,8.8,6380.0,35841900.0
21,22,3,14,1,0,11.99,82.7,668,8.2,5477.6,35841900.0
9,19,2,18,1,0,12.18,80.2,432,7.4,3196.8,23684712.0
15,22,1,12,1,0,12.16,79.9,460,7.7,3542.0,26092496.0
8,17,1,22,1,0,12.2,79.5,358,8.4,3007.2,22374488.0
13,23,3,19,1,0,12.11,80.7,739,7.4,5468.6,35841900.0
15,22,0,11,1,0,12.06,81.2,558,7.8,4352.4,32182540.0
19,22,3,20,1,0,12.31,80.3,756,8.4,6350.4,35841900.0
5,21,1,4,1,0,12.42,80.6,298,7.9,2354.2,17128868.0
22,23,3,21,1,0,12.23,80.9,791,8.9,7039.9,35841900.0
9,18,2,4,1,0,12.23,81.0,230,9.3,2139.0,15947692.0
10,21,1,18,7,0,12.25,80.8,661,8.5,5618.5,35841900.0
17,22,3,17,1,0,12.18,80.6,683,8.3,5668.9,35841900.0
16,22,2,17,1,0,12.06,82.2,472,8.2,3870.4,28474176.0
6,18,2,7,1,0,11.83,83.3,329,9.3,3059.7,23122156.0
23,22,3,3,1,0,11.84,83.4,500,7.7,3850.0,28425766.0
7,22,2,4,1,0,11.82,83.3,363,7.4,2686.2,19823414.0
23,23,3,12,1,0,11.7,84.1,685,8.8,6028.0,35841900.0
5,17,3,6,1,0,11.63,84.2,476,9.1,4331.6,32281726.0
17,22,0,10,1,0,11.58,84.6,310,8.2,2542.0,18676998.0
7,20,3,8,1,0,11.53,85.2,408,7.4,3019.2,22459288.0
16,23,3,11,1,0,11.47,86.7,678,8.3,5627.4,35841900.0
23,22,2,10,1,0,11.49,87.0,476,8.5,4046.0,29785868.0
23,22,2,9,1,0,11.5,87.3,507,7.8,3954.6,29117496.0
21,23,2,12,1,0,11.45,87.5,512,8.1,4147.2,30501632.0
21,23,0,19,1,0,11.42,87.6,570,7.7,4389.0,32423100.0
20,23,2,4,1,0,11.47,87.5,571,7.8,4453.8,32956504.0
19,22,3,3,1,0,11.45,87.0,512,7.6,3891.2,28749182.0
19,22,2,7,1,0,11.52,86.6,573,8.5,4870.5,35841900.0
12,22,1,3,12,0,11.67,86.1,522,9.1,4750.2,35594020.0
14,22,3,17,12,0,11.7,85.9,813,8.5,6910.5,35841900.0
12,22,3,10,1,0,11.72,85.9,451,7.4,3337.4,24711198.0
21,22,1,11,1,0,11.72,85.9,412,8.4,3460.8,25475900.0
16,23,3,4,1,0,11.76,85.5,383,8.5,3255.5,24202442.0
19,22,3,6,1,0,11.96,83.3,481,8.9,4280.9,31708260.0
23,22,1,7,12,0,11.95,82.3,539,8.9,4797.1,35805016.0
8,21,1,9,1,0,12.02,82.2,486,8.4,4082.4,30111460.0
13,22,2,8,1,0,12.01,82.5,618,8.3,5129.4,35841900.0
18,23,1,16,12,0,11.87,83.2,658,8.2,5395.6,35841900.0
7,20,2,6,1,0,11.86,83.6,256,8.4,2150.4,15582364.0
13,22,0,15,12,0,11.79,85.2,587,9.1,5341.7,35841900.0
13,23,2,19,1,0,11.83,86.4,660,9.2,6072.0,35841900.0
20,23,0,4,1,0,11.84,87.2,528,8.9,4699.2,35053790.0
11,23,0,18,12,0,11.76,87.5,624,9.1,5678.4,35841900.0
17,23,1,14,1,0,11.78,87.6,608,8.5,5168.0,35841900.0
5,22,2,8,1,0,11.72,87.5,365,7.9,2883.5,21398350.0
20,22,0,12,1,0,11.66,87.0,571,7.6,4339.6,32117290.0
12,22,1,22,1,0,11.62,86.6,479,7.9,3784.1,27748620.0
5,21,1,11,1,0,11.72,86.5,306,8.1,2478.6,18216608.0
19,22,2,8,12,0,11.79,86.6,631,9.2,5805.2,35841900.0
15,22,0,9,1,0,11.79,86.5,414,7.8,3229.2,23737186.0
17,22,3,10,1,0,11.81,86.3,476,8.3,3950.8,29130998.0
23,23,0,12,1,0,11.88,86.2,512,9.1,4659.2,34844510.0
16,23,1,7,1,0,12.08,86.3,401,7.4,2967.4,21875338.0
13,23,2,16,1,0,12.24,86.5,466,7.4,3448.4,25410112.0
13,23,0,18,1,0,12.36,86.5,507,8.5,4309.5,31736970.0
20,23,0,14,1,0,12.5,86.5,517,8.5,4394.5,32442052.0
7,22,1,19,1,0,12.49,85.1,556,7.7,4281.2,31591916.0
9,22,0,12,1,0,12.59,84.3,374,9.2,3440.8,25559896.0
9,23,3,5,7,0,12.79,83.2,548,7.9,4329.2,32008358.0
5,23,2,20,1,0,13.08,81.6,697,8.4,5854.8,35841900.0
7,21,1,21,7,0,13.3,80.0,697,7.7,5366.9,35841900.0
9,21,2,16,1,0,13.27,78.2,543,8.1,4398.3,32465920.0
21,22,2,12,1,0,13.23,77.2,602,8.8,5297.6,35841900.0
18,23,1,4,1,0,13.32,77.6,320,7.4,2368.0,17030390.0
16,23,3,10,1,0,13.17,77.3,526,7.7,4050.2,29822606.0
7,23,3,4,7,0,13.26,77.1,383,8.3,3178.9,23790740.0
15,23,1,8,1,0,13.36,76.4,556,7.4,4114.4,30440162.0
17,22,3,11,1,0,13.57,75.2,438,9.2,4029.6,29943404.0
8,21,1,11,1,0,13.61,74.6,334,7.8,2605.2,19168504.0
14,22,0,14,1,0,13.52,74.3,492,9.1,4477.2,33354010.0
9,22,2,12,1,0,13.58,74.2,474,8.9,4218.6,31271504.0
13,22,2,16,1,0,13.66,73.7,569,8.8,5007.2,35841900.0
7,20,1,15,1,0,13.79,74.3,553,8.9,4921.7,35841900.0
16,22,1,12,1,0,13.97,73.6,546,8.2,4477.2,33116226.0
16,22,3,4,1,0,13.91,73.3,369,8.4,3099.6,23066074.0
21,23,2,8,1,0,13.93,72.3,434,8.2,3558.8,26225128.0
13,22,1,13,1,0,13.79,72.7,430,7.7,3311.0,24392772.0
22,23,1,19,1,0,13.72,72.5,568,9.3,5282.4,35841900.0
14,23,2,21,1,0,13.57,71.1,431,8.5,3663.5,26991954.0
16,22,3,5,1,0,13.39,71.4,402,9.3,3738.6,27905180.0
21,23,2,8,1,0,13.19,71.8,470,7.4,3478.0,25636312.0
13,22,1,22,12,0,13.0,73.1,619,8.8,5447.2,35841900.0
9,21,1,15,1,0,12.86,73.9,568,7.9,4487.2,33243350.0
6,23,3,11,1,0,12.81,74.3,551,7.8,4297.8,31694870.0
5,17,1,22,1,0,12.74,74.6,396,8.7,3445.2,25539810.0
7,23,1,22,1,0,12.57,74.9,617,7.6,4689.2,34993104.0
23,22,3,14,1,0,12.53,74.8,493,8.8,4338.4,32056310.0
11,23,1,16,1,0,12.46,75.4,616,7.9,4866.4,35841900.0
9,20,3,12,1,0,12.25,76.2,524,8.3,4349.2,32113120.0
15,23,3,4,1,0,12.09,76.7,465,9.2,4278.0,31821174.0
22,22,2,3,1,0,11.94,77.1,596,9.3,5542.8,35841900.0
6,17,1,14,1,0,11.23,78.8,401,7.8,3127.8,23159352.0
22,22,3,17,1,0,10.93,79.5,556,8.7,4837.2,35816624.0
14,23,2,17,12,0,10.71,80.4,615,8.3,5104.5,35841900.0
15,23,3,8,1,0,10.63,80.7,637,8.4,5350.8,35841900.0
17,23,0,3,1,0,10.61,80.5,422,7.7,3249.4,23889122.0
20,23,1,11,1,0,10.52,80.3,586,8.4,4922.4,35841900.0
13,23,2,17,12,0,10.2,81.1,794,7.7,6113.8,35841900.0
5,20,2,21,7,0,10.02,81.9,537,9.2,4940.4,35841900.0
23,23,3,17,1,0,10.01,82.3,745,8.4,6258.0,35841900.0
10,18,1,18,1,0,10.25,82.4,504,7.9,3981.6,29387754.0
20,22,3,15,1,0,10.84,82.3,651,9.2,5989.2,35841900.0
21,22,0,15,1,0,10.89,79.9,620,9.2,5704.0,35841900.0
9,22,0,6,1,0,10.54,79.7,408,8.9,3631.2,26869850.0
19,23,1,11,1,0,10.61,79.5,417,8.2,3419.4,25148910.0
11,22,1,19,12,0,10.63,79.4,508,9.1,4622.8,34666860.0
8,22,3,12,7,0,10.82,78.9,489,7.4,3618.6,26962682.0
15,22,0,10,1,0,11.01,79.1,393,8.1,3183.3,23428678.0
5,17,3,4,1,0,11.18,78.4,433,8.2,3550.6,26487978.0
6,22,2,12,1,0,11.6,77.7,444,8.2,3640.8,26914946.0
8,21,3,16,1,0,11.9,75.4,647,7.6,4917.2,35841900.0
14,23,1,20,1,0,12.04,73.6,710,7.4,5254.0,35841900.0
15,22,2,14,1,0,12.1,73.5,680,8.8,5984.0,35841900.0
21,22,0,22,12,0,12.16,73.5,733,8.3,6083.9,35841900.0
12,22,3,21,1,0,12.23,74.5,595,8.7,5176.5,35841900.0
7,21,2,12,7,0,12.14,75.7,547,8.2,4485.4,33254714.0
6,23,3,10,7,0,12.16,75.8,683,8.8,6010.4,35841900.0
6,18,3,10,1,0,12.31,74.9,456,7.9,3602.4,26793168.0
17,23,0,13,1,0,12.5,72.7,617,9.2,5676.4,35841900.0
21,23,3,20,1,0,12.39,74.6,616,8.1,4989.6,35841900.0
16,22,1,14,1,0,12.3,75.4,577,8.5,4904.5,35841900.0
11,22,2,14,1,0,12.28,76.0,467,7.4,3455.8,25540940.0
13,22,3,19,1,0,12.33,76.0,560,8.5,4760.0,35328690.0
10,19,1,15,7,0,12.39,75.5,485,8.2,3977.0,29449644.0
23,22,3,16,1,0,12.44,75.1,605,8.9,5384.5,35841900.0
18,23,0,10,1,0,12.52,74.8,612,7.9,4834.8,35821580.0
17,22,0,15,1,0,12.57,74.9,383,7.4,2834.2,20839690.0
8,17,2,11,1,0,12.53,75.2,366,8.1,2964.6,22038808.0
8,19,2,19,1,0,12.28,77.3,518,7.9,4092.2,30199038.0
22,22,1,8,1,0,12.21,77.8,474,8.1,3839.4,28242190.0
22,22,3,14,1,0,12.41,77.5,603,9.1,5487.3,35841900.0
7,17,3,5,1,0,12.41,76.8,331,7.9,2614.9,19346086.0
19,22,0,20,12,0,12.37,77.1,736,8.3,6108.8,35841900.0
6,17,3,15,1,0,12.34,77.2,475,9.1,4322.5,32165312.0
5,18,3,4,1,0,12.35,77.3,190,8.9,1691.0,12543564.0
14,23,0,12,1,0,12.34,77.2,542,9.3,5040.6,35841900.0
12,23,2,18,1,0,12.31,77.3,428,7.7,3295.6,24296960.0
13,23,2,11,1,0,12.26,77.3,570,8.3,4731.0,35128956.0
19,22,2,11,1,0,12.19,77.1,632,7.4,4676.8,35019976.0
17,23,3,5,1,0,12.28,76.5,492,8.1,3985.2,29370704.0
19,23,1,17,1,0,12.4,75.0,606,9.1,5514.6,35841900.0
23,22,2,5,1,0,12.39,74.2,437,8.8,3845.6,28451454.0
18,22,3,5,1,0,12.34,74.9,499,7.6,3792.4,28011346.0
10,22,2,12,1,0,12.26,75.6,533,7.6,4050.8,29888786.0
9,20,2,5,1,0,12.15,76.1,503,8.3,4174.9,30881462.0
7,23,3,4,1,0,12.11,76.6,315,7.4,2331.0,16959340.0
15,22,1,15,1,0,12.09,77.0,502,9.1,4568.2,34058300.0
10,20,1,6,1,0,12.07,77.0,500,7.6,3800.0,28128816.0
7,17,0,12,1,0,12.04,76.9,251,8.9,2233.9,16327436.0
14,23,2,19,1,0,11.94,77.1,499,9.1,4540.9,33743730.0
17,23,0,5,12,0,11.99,77.2,539,8.4,4527.6,33697292.0
21,23,2,10,1,0,12.0,77.4,432,8.1,3499.2,25749832.0
13,22,0,16,1,0,11.99,77.7,446,9.3,4147.8,30859190.0
18,23,1,5,1,0,11.97,77.9,514,8.1,4163.4,30683478.0
12,22,1,12,1,0,11.81,77.9,413,7.7,3180.1,23448794.0
22,22,0,3,1,0,11.17,79.8,475,9.2,4370.0,32631162.0
7,21,3,3,7,0,10.89,80.9,369,7.9,2915.1,21836074.0
9,22,1,21,7,0,10.72,81.3,684,7.9,5403.6,35841900.0
6,22,0,8,1,0,10.53,82.1,434,8.7,3775.8,27843356.0
18,22,3,6,12,0,10.38,83.1,500,9.2,4600.0,34533772.0
23,23,0,11,1,0,10.15,83.6,544,8.1,4406.4,32564028.0
23,23,2,11,1,0,10.09,84.0,514,8.1,4163.4,30642312.0
9,20,3,16,1,0,10.11,84.1,477,9.2,4388.4,32671196.0
16,23,3,12,12,0,10.13,84.2,653,8.5,5550.5,35841900.0
18,22,2,11,1,0,10.17,84.4,468,8.1,3790.8,27886650.0
20,22,1,22,1,0,10.01,83.8,737,7.7,5674.9,35841900.0
5,17,2,15,1,0,9.9,83.8,351,9.1,3194.1,24001994.0
10,17,1,3,1,0,10.02,83.9,399,8.2,3271.8,24244314.0
7,17,0,17,1,0,10.14,83.7,289,8.2,2369.8,17170432.0
5,17,1,15,1,0,10.24,84.0,355,8.7,3088.5,23028270.0
18,23,3,22,1,0,10.66,84.2,651,8.7,5663.7,35841900.0
15,22,2,3,1,0,11.15,84.0,340,8.2,2788.0,20709604.0
13,23,1,15,12,0,11.61,83.8,492,8.3,4083.6,30274286.0
7,21,0,15,1,0,12.44,82.3,517,8.1,4187.7,30892174.0
18,23,2,22,1,0,12.94,78.5,616,7.4,4558.4,33942196.0
16,23,2,11,1,0,13.39,76.0,457,9.3,4250.1,31625920.0
17,23,1,22,1,0,13.77,74.5,575,9.2,5290.0,35841900.0
18,22,1,16,12,0,14.07,74.1,536,9.3,4984.8,35841900.0
23,23,3,13,1,0,14.25,69.18,737,7.8,5748.6,35841900.0
23,23,3,16,1,0,14.58,64.81,649,9.1,5905.9,35841900.0
21,22,1,10,12,0,14.77,58.33,651,8.3,5403.3,35841900.0
10,20,0,13,1,0,14.87,56.86,398,8.9,3542.2,26226214.0
19,23,1,17,12,0,15.01,57.4,740,9.1,6734.0,35841900.0
5,22,0,6,1,0,15.17,57.7,428,8.3,3552.4,26225552.0
17,22,2,15,1,0,15.55,58.06,561,8.1,4544.1,33628244.0
15,23,1,11,1,0,15.67,60.9,512,9.3,4761.6,35654772.0
18,22,2,17,12,0,15.46,64.64,819,9.3,7616.7,35841900.0
18,23,2,5,1,0,15.24,65.08,373,7.6,2834.8,20907290.0
8,21,0,15,1,0,15.12,65.04,350,8.3,2905.0,21526256.0
9,18,1,5,1,0,15.09,65.14,433,8.4,3637.2,26933352.0
14,22,0,7,1,0,14.93,63.17,267,8.2,2189.4,15711408.0
7,17,2,5,7,0,15.06,62.64,322,8.3,2672.6,20029402.0
8,17,3,9,1,0,15.13,62.8,260,8.3,2158.0,15613338.0
9,23,3,5,1,0,15.07,62.87,471,8.9,4191.9,31088222.0
15,23,2,13,1,0,15.08,62.54,553,8.4,4645.2,34444024.0
17,22,0,16,1,0,14.83,63.27,542,7.7,4173.4,30790092.0
16,23,0,7,1,0,14.93,63.87,431,8.8,3792.8,27925382.0
11,23,1,4,1,0,14.84,64.01,527,8.8,4637.6,34479984.0
9,21,3,16,1,0,14.74,63.77,409,9.2,3762.8,28030216.0
14,23,0,18,1,0,14.73,62.6,477,7.8,3720.6,27282126.0
7,20,3,5,1,0,14.58,62.8,508,8.7,4419.6,32778920.0
6,20,3,3,1,0,14.45,62.9,274,8.2,2246.8,16443352.0
5,20,2,19,1,0,14.45,63.61,582,9.1,5296.2,35841900.0
15,23,0,7,1,0,14.41,64.84,299,8.1,2421.9,17657750.0
20,22,0,20,1,0,14.3,65.41,588,9.1,5350.8,35841900.0
11,22,2,19,1,0,14.35,65.58,446,8.3,3701.8,27257594.0
21,22,3,14,1,0,14.43,65.44,528,7.4,3907.2,28852916.0
18,22,3,5,1,0,14.4,66.61,515,7.6,3914.0,28922830.0
20,22,3,15,1,0,14.44,67.08,702,9.3,6528.6,35841900.0
11,23,1,15,12,0,14.28,66.94,709,8.4,5955.6,35841900.0
22,23,1,21,1,0,14.21,66.94,774,9.1,7043.4,35841900.0
8,21,3,21,1,0,14.13,66.88,565,8.9,5028.5,35841900.0
7,20,0,20,1,0,14.17,67.11,450,8.5,3825.0,28166108.0
21,23,2,10,12,0,14.06,67.31,582,8.4,4888.8,35841900.0
20,23,2,8,12,0,14.04,67.65,724,8.7,6298.8,35841900.0
13,23,0,14,12,0,14.04,67.41,628,9.1,5714.8,35841900.0
13,22,0,3,12,0,13.97,67.71,402,8.7,3497.4,26153024.0
6,17,2,9,1,0,13.93,68.38,392,7.7,3018.4,22425348.0
10,18,1,19,1,0,13.86,69.08,585,8.3,4855.5,35841760.0
16,22,1,10,1,0,13.83,69.28,577,7.8,4500.6,33371458.0
20,22,2,18,1,0,13.78,69.85,592,9.2,5446.4,35841900.0
21,23,2,17,12,0,13.77,70.3,800,7.8,6240.0,35841900.0
12,23,0,18,1,0,13.8,71.1,633,8.9,5633.7,35841900.0
18,23,1,9,12,0,13.75,72.3,747,9.1,6797.7,35841900.0
8,20,1,10,7,0,13.67,73.2,439,7.6,3336.4,24805456.0
13,22,1,14,1,0,13.58,73.9,484,8.4,4065.6,29906608.0
10,22,1,18,7,0,13.44,74.7,472,8.3,3917.6,28955930.0
12,23,2,12,1,0,13.33,75.5,571,7.8,4453.8,32936460.0
21,22,3,12,1,0,13.18,75.9,466,7.4,3448.4,25437832.0
13,22,1,3,12,0,13.12,75.9,414,9.2,3808.8,28603946.0
5,23,2,10,1,0,13.09,75.6,420,9.1,3822.0,28389454.0
8,19,3,11,1,0,12.96,76.2,514,7.8,4009.2,29634530.0
13,23,3,3,1,0,12.67,77.4,412,7.4,3048.8,22600612.0
18,22,0,7,12,0,12.08,77.5,410,9.3,3813.0,28628718.0
6,21,0,13,7,0,12.02,77.5,444,7.7,3418.8,25345438.0
9,19,3,15,1,0,11.94,77.8,571,8.2,4682.2,34755384.0
11,22,1,17,1,0,11.65,78.6,516,7.9,4076.4,29985756.0
22,23,1,11,1,0,11.42,79.4,615,8.9,5473.5,35841900.0
22,23,0,20,1,0,11.17,80.7,694,7.9,5482.6,35841900.0
19,23,2,22,12,0,11.19,80.5,807,7.6,6133.2,35841900.0
10,20,3,22,7,0,11.35,80.2,747,8.9,6648.3,35841900.0
20,22,0,21,12,0,11.46,80.0,632,7.9,4992.8,35841900.0
22,22,2,19,1,0,11.63,80.1,696,8.1,5637.6,35841900.0
7,23,3,20,1,0,11.64,80.1,630,8.7,5481.0,35841900.0
21,22,2,9,1,0,11.63,80.7,461,8.2,3780.2,27802894.0
9,19,1,7,1,0,11.47,81.1,297,8.7,2583.9,19295276.0
9,20,3,8,7,0,11.52,81.8,494,9.3,4594.2,34459132.0
6,21,0,16,1,0,11.41,82.0,310,9.1,2821.0,21291222.0
5,22,0,18,7,0,11.23,82.8,478,9.3,4445.4,33272754.0
14,23,2,18,1,0,11.22,83.2,568,7.6,4316.8,31844266.0
6,17,1,4,1,0,11.33,83.5,291,8.2,2386.2,17355910.0
14,23,0,4,1,0,11.26,84.5,273,9.2,2511.6,19017056.0
6,21,3,12,1,0,11.28,84.5,476,7.6,3617.6,26841984.0
5,23,2,11,1,0,11.31,85.6,564,8.8,4963.2,35841900.0
15,22,0,17,12,0,11.49,85.3,498,7.4,3685.2,27348204.0
15,22,0,10,1,0,11.48,85.7,384,8.8,3379.2,24966586.0
11,22,0,7,1,0,11.58,86.0,306,7.9,2417.4,17547558.0
7,23,0,19,1,0,11.56,86.0,449,7.4,3322.6,24466026.0
21,23,1,19,12,0,11.35,86.5,823,9.1,7489.3,35841900.0
12,23,3,13,1,0,11.15,87.0,483,8.1,3912.3,28807842.0
12,23,3,7,12,0,11.06,87.4,570,8.4,4788.0,35627056.0
9,17,2,20,1,0,11.03,87.8,361,8.8,3176.8,23743184.0
5,21,2,12,1,0,11.05,87.9,506,8.8,4452.8,33010448.0
13,22,1,19,12,0,11.13,88.6,703,9.3,6537.9,35841900.0
8,21,0,3,7,0,11.09,88.3,276,8.8,2428.8,18288088.0
18,22,0,4,1,0,11.02,88.7,369,8.7,3210.3,23740374.0
21,22,0,14,12,0,11.0,88.9,639,8.4,5367.6,35841900.0
21,22,3,11,12,0,11.0,89.1,735,8.3,6100.5,35841900.0
8,19,3,5,7,0,10.97,89.3,558,8.9,4966.2,35841900.0
17,23,0,21,12,0,10.89,89.4,652,8.7,5672.4,35841900.0
23,23,1,15,1,0,10.88,89.7,511,8.3,4241.3,31238356.0
11,22,3,15,1,0,10.92,89.8,558,8.9,4966.2,35841900.0
10,21,2,10,1,0,11.0,89.9,473,7.8,3689.4,27243444.0
17,23,1,22,1,0,11.13,90.1,633,8.5,5380.5,35841900.0
7,17,0,16,7,0,11.24,90.2,441,7.9,3483.9,25845788.0
8,20,2,19,1,0,11.25,90.2,592,8.1,4795.2,35599680.0
5,18,3,19,7,0,11.02,90.4,441,8.5,3748.5,27878330.0
16,23,2,5,1,0,10.95,90.6,617,8.4,5182.8,35841900.0
23,22,0,10,1,0,10.95,90.7,426,7.9,3365.4,24667786.0
12,22,3,16,1,0,10.97,90.8,432,9.3,4017.6,29890004.0
5,21,0,4,1,0,10.98,90.9,388,7.6,2948.8,21782740.0
5,19,0,16,7,0,10.92,90.8,524,9.3,4873.2,35841900.0
7,20,0,19,1,0,10.82,90.9,452,8.5,3842.0,28308208.0
14,22,2,15,1,0,10.78,91.0,514,7.9,4060.6,29859668.0
12,22,3,15,1,0,10.75,91.1,601,9.1,5469.1,35841900.0
16,23,3,22,1,0,10.76,91.3,559,8.4,4695.6,34752520.0
17,23,0,22,12,0,10.76,91.4,566,8.2,4641.2,34560748.0
16,22,1,11,1,0,10.83,91.5,602,8.8,5297.6,35841900.0
6,17,2,19,1,0,10.84,91.5,454,8.4,3813.6,28204374.0
20,23,0,9,12,0,10.83,91.5,661,8.1,5354.1,35841900.0
9,23,1,18,1,0,10.82,91.6,673,8.8,5922.4,35841900.0
19,23,2,16,1,0,10.78,91.7,678,7.7,5220.6,35841900.0
5,17,2,6,1,0,10.76,91.8,382,7.8,2979.6,22141360.0
15,23,1,5,1,0,10.67,91.9,325,7.4,2405.0,17357410.0
10,23,2,20,1,0,10.62,91.9,623,7.4,4610.2,34375788.0
10,23,2,6,1,0,10.57,92.0,459,8.5,3901.5,28788386.0
21,23,1,4,1,0,10.62,92.2,609,7.4,4506.6,33549492.0
15,23,0,15,1,0,10.65,92.2,596,8.3,4946.8,35841900.0
16,22,2,22,1,0,10.7,92.2,504,7.4,3729.6,27438488.0
8,20,1,12,1,0,10.71,92.2,536,8.2,4395.2,32499074.0
12,22,0,5,1,0,10.59,92.3,414,7.4,3063.6,22593854.0
19,23,2,13,1,0,10.63,92.4,690,7.4,5106.0,35841900.0
9,23,2,22,7,0,10.64,92.5,788,7.8,6146.4,35841900.0
23,23,1,22,1,0,10.7,92.5,637,9.2,5860.4,35841900.0
19,22,2,18,1,0,10.74,92.5,674,9.1,6133.4,35841900.0
23,22,3,19,1,0,10.72,92.3,754,8.5,6409.0,35841900.0
6,21,0,16,1,0,10.69,92.4,252,8.9,2242.8,16472236.0
16,23,3,11,1,0,10.77,92.4,596,7.4,4410.4,32699732.0
17,22,1,21,1,0,10.8,92.2,665,8.4,5586.0,35841900.0
23,22,0,15,1,0,10.8,92.2,449,7.7,3457.3,25311382.0
5,21,2,12,1,0,10.83,92.1,371,8.2,3042.2,22624754.0
10,20,2,9,1,0,10.87,92.1,307,8.8,2701.6,20360460.0
20,23,3,14,1,0,10.87,92.2,661,7.9,5221.9,35841900.0
23,22,1,13,1,0,10.91,92.2,572,8.8,5033.6,35841900.0
8,18,3,6,7,0,10.94,92.2,509,7.4,3766.6,28138302.0
19,23,0,16,1,0,10.93,92.2,604,8.7,5254.8,35841900.0
9,18,2,11,7,0,10.96,92.4,439,9.2,4038.8,30224804.0
10,23,1,4,1,0,11.14,92.5,454,8.2,3722.8,27417526.0
14,23,2,5,12,0,11.65,92.9,494,8.5,4199.0,31215142.0
13,22,1,6,1,0,11.74,92.2,551,9.1,5014.1,35841900.0
23,22,2,14,1,0,11.85,91.8,645,8.8,5676.0,35841900.0
23,22,0,16,1,0,12.03,91.4,463,7.6,3518.8,25767746.0
13,23,0,9,1,0,12.23,90.8,546,8.8,4804.8,35705650.0
14,23,0,3,12,0,12.55,89.7,484,7.4,3581.6,26701448.0
13,23,2,6,1,0,13.11,88.8,616,8.9,5482.4,35841900.0
17,23,0,13,1,0,13.7,86.9,451,8.7,3923.7,28853350.0
13,23,3,8,1,0,14.07,82.7,448,7.8,3494.4,25791446.0
5,23,2,10,7,0,14.51,78.5,603,8.9,5366.7,35841900.0
23,22,2,11,1,0,14.52,74.1,457,8.9,4067.3,30060338.0
